항목,내용
회의명,Final_Project_주간 회의
회의 유형,6차 정기회의
회의일시,2026-02-25 10:34
참석자,"김린,엄재민,이승재,조윤재,함유라,권준호"
작성자,이승재
회의 목적,
요약,본 회의는 실시간 회의 시스템의 기술적 개선 사항 검토와 포트폴리오 발표 준비 상황을 논의하기 위해 소집되었습니다. 주요 문제점 해결과 향후 프로젝트 진행 계획에 대한 결정 사항을 논의하였습니다.
주요 안건 및 내용,"- - 답변 감정 점수 저장 문제 해결 완료
- 펜서뱅크 유지 여부에 대한 논의 진행 중
- 교육관리 시스템 개선 필요성 제기 및 개인 기록 강조 필요성 확인
- 시스템 테스트 완료 후 주말 내 수정 사항 확인 예정
- 이력서 질문 생성 기능 개선 중, 테스트 시간 최적화 진행 중
- STT(음성 인식) 기능 수정 완료 (20일 예정)
- 전사 기능 문제 해결 및 전체 질문 처리 방식 채택 완료
- 감정 분석 모델 설계 개선 및 프롬프트 조정 필요
- 모델 구현 완료 및 점수 계산 진행 중
- TTS 연결 문제 해결로 응답 시간 최적화 시도 중
- 파트별 보고서 수정 및 통합 테스트 준비 완료
- 이력서 및 프로필 관리 기능 구현 완료 단계
- 포트폴리오 발표 준비 중 (백엔드 설명 7-5분 예정)
- 프로젝트 템플릿 수정 및 유튜브 공유 계획 확정
- 포트폴리오 제작: 5~7장 이내 간결한 디자인 결정
- 발표 자료: 12장 이내 간결한 디자인으로 제작 예정"
결론 및 결정 사항,"- 답변 감정 점수 저장 문제 해결 완료
- STT 기능 수정 완료 (20일 예정)
- 포트폴리오 제작 및 발표 자료 간결화 결정
- 특정 항목 제거 계획 확정 (금요일까지 진행 예정)"
향후 계획,"- [개발팀] STT 기능 최종 테스트 및 피드백 반영 (20일)
- [QA 팀] 주말 내 시스템 수정 사항 확인 및 보고
- [포트폴리오 팀] 포트폴리오 최종 검증 및 디자인 조정 완료 (다음 주)
- [전체 팀] 다음 주 집중 발표 준비 시작
- [모든 참석자] 특정 항목 제거 작업 금요일까지 완료"
